"PERSON_ID","PLAYER_NAME","SEASON","ROUND_NUMBER","ROUND_PICK","OVERALL_PICK","DRAFT_TYPE","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","ORGANIZATION","ORGANIZATION_TYPE","PLAYER_PROFILE_FLAG"
"200748","Tyrus Thomas","2006","1","4","4","Draft","1610612757","Portland","Trail Blazers","POR","Louisiana State","College/University","1"
"201144","Mike Conley","2007","1","4","4","Draft","1610612763","Memphis","Grizzlies","MEM","Ohio State","College/University","1"
"201566","Russell Westbrook","2008","1","4","4","Draft","1610612760","Oklahoma City","Thunder","OKC","California-Los Angeles","College/University","1"
"201936","Tyreke Evans","2009","1","4","4","Draft","1610612758","Sacramento","Kings","SAC","Memphis","College/University","1"
"202325","Wesley Johnson","2010","1","4","4","Draft","1610612750","Minnesota","Timberwolves","MIN","Syracuse","College/University","1"
"202684","Tristan Thompson","2011","1","4","4","Draft","1610612739","Cleveland","Cavaliers","CLE","Texas","College/University","1"
"203079","Dion Waiters","2012","1","4","4","Draft","1610612739","Cleveland","Cavaliers","CLE","Syracuse","College/University","1"
"203469","Cody Zeller","2013","1","4","4","Draft","1610612766","Charlotte","Bobcats","CHA","Indiana","College/University","1"
"203932","Aaron Gordon","2014","1","4","4","Draft","1610612753","Orlando","Magic","ORL","Arizona","College/University","1"
"204001","Kristaps Porzingis","2015","1","4","4","Draft","1610612752","New York","Knicks","NYK","CB Sevilla (Spain)","Other Team/Club","1"
"1627733","Dragan Bender","2016","1","4","4","Draft","1610612756","Phoenix","Suns","PHX","Maccabi Tel Aviv B.C. (Israel)","Other Team/Club","1"
"1628367","Josh Jackson","2017","1","4","4","Draft","1610612756","Phoenix","Suns","PHX","Kansas","College/University","1"
"1628991","Jaren Jackson Jr.","2018","1","4","4","Draft","1610612763","Memphis","Grizzlies","MEM","Michigan State","College/University","1"
"1629631","De'Andre Hunter","2019","1","4","4","Draft","1610612747","Los Angeles","Lakers","LAL","Virginia","College/University","1"
"1630172","Patrick Williams","2020","1","4","4","Draft","1610612741","Chicago","Bulls","CHI","Florida State","College/University","1"
"1630567","Scottie Barnes","2021","1","4","4","Draft","1610612761","Toronto","Raptors","TOR","Florida State","College/University","1"
"1631099","Keegan Murray","2022","1","4","4","Draft","1610612758","Sacramento","Kings","SAC","Iowa","College/University","1"
"1641708","Amen Thompson","2023","1","4","4","Draft","1610612745","Houston","Rockets","HOU","Overtime Elite","Other Team/Club","1"
